,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
401,Monty Python and the Holy Grail,1975,8.2,91.0,532444,1.23,91
402,Lord of War,2005,7.6,62.0,312459,24.15,122
403,The Pursuit of Happyness,2006,8.0,64.0,496891,163.57,117
404,Slumdog Millionaire,2008,8.0,84.0,834446,141.32,120
405,"Blood In, Blood Out",1993,7.9,47.0,31043,4.5,180
406,Ed Wood,1994,7.8,70.0,174610,5.89,127
407,Mulan,1998,7.6,71.0,280369,120.62,88
408,I Saw the Devil,2010,7.8,67.0,126597,0.13,144
409,The King's Speech,2010,8.0,88.0,671857,138.8,118
410,Dawn of the Planet of the Apes,2014,7.6,79.0,434692,208.55,130
411,The Searchers,1956,7.9,94.0,88151,,119
412,Mr. Nobody,2009,7.8,63.0,230488,0.0,141
413,Groundhog Day,1993,8.1,72.0,616123,70.91,101
414,Singin' in the Rain,1952,8.3,99.0,237721,8.82,103
415,The Others,2001,7.6,74.0,359704,96.52,104
416,The Blues Brothers,1980,7.9,60.0,196283,57.23,133
417,The Boat,1981,8.4,86.0,247458,11.49,149
418,Raging Bull,1980,8.2,89.0,346794,23.38,129
419,The Fault in Our Stars,2014,7.7,69.0,369467,124.87,126
420,Rear Window,1954,8.5,100.0,481501,36.76,112
421,Walk the Line,2005,7.8,72.0,247943,119.52,136
422,Wreck-It Ralph,2012,7.7,72.0,412781,189.42,101
423,As Good as It Gets,1997,7.7,67.0,295272,148.48,139
424,To Kill a Mockingbird,1962,8.3,88.0,312244,,129
425,Gravity,2013,7.7,96.0,812919,274.09,91
426,Mildred Pierce,1945,8.0,88.0,25643,,111
427,Fantastic Mr. Fox,2009,7.9,83.0,225488,21.0,87
428,Million Dollar Baby,2004,8.1,86.0,676475,100.49,132
429,Life of Pi,2012,7.9,79.0,618076,124.99,127
430,Serenity,2005,7.8,74.0,294074,25.51,119
431,Scent of a Woman,1992,8.0,59.0,289580,63.9,156
432,The Seventh Seal,1957,8.1,88.0,182201,,96
433,A Fistful of Dollars,1964,7.9,65.0,213686,14.5,99
434,Empire of the Sun,1987,7.7,62.0,124102,22.24,153
435,Rosemary's Baby,1968,8.0,96.0,211239,,137
436,Rio Bravo,1959,8.0,93.0,61696,12.54,141
437,For a Few Dollars More,1965,8.2,74.0,251967,15.0,132
438,Gone Baby Gone,2007,7.6,72.0,269476,20.3,114
439,Straight Outta Compton,2015,7.8,72.0,197715,161.2,147
440,The Boondock Saints,1999,7.7,44.0,237604,0.03,108
441,Dark City,1998,7.6,66.0,198291,14.38,100
442,Lethal Weapon,1987,7.6,68.0,254607,65.21,109
443,The Thin Red Line,1998,7.6,78.0,185672,36.4,170
444,Carlito's Way,1993,7.9,65.0,214731,36.95,144
445,Perfect Blue,1997,8.0,,72474,0.78,81
446,End of Watch,2012,7.6,68.0,244453,41.0,109
447,Vertigo,1958,8.3,100.0,395080,3.2,128
448,North by Northwest,1959,8.3,98.0,322174,13.28,136
449,Being John Malkovich,1999,7.8,90.0,330776,22.86,113
450,Toy Story 2,1999,7.9,88.0,567305,245.85,92
451,Midnight Cowboy,1969,7.8,79.0,109722,44.79,113
